indicator,year,region,value,unit,Source ,Fact Check
Global publication share,2000,EU,25.5,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Global publication share,2022,EU,18.1,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Top 1% cited publication share,2000,EU,20.7,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Top 1% cited publication share,2020,EU,17.8,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Top 10% cited publication share,2000,EU,23.4,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Top 10% cited publication share,2022,EU,19.2,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Top 10% cited publication share,2000,China,2.8,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Top 10% cited publication share,2022,China,26.7,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI publication share,2010,EU,37,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI publication share,2010,China,34,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI publication share,2010,US,29,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI publication share,2021,China,42,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI publication share,2021,EU,30,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI publication share,2021,US,28,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI patent share (granted),2022,China,61,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI patent share (granted),2022,US,21,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
AI patent share (granted),2022,Europe,2,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Global patent application share,2000,EU,30,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Global patent application share,2021,EU,17.3,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
RD&I intensity,2022,EU,2.2,percent GDP,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
RD&I intensity,2022,USA,3.5,percent GDP,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
RD&I intensity,2022,China,2.4,percent GDP,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
RD&I intensity,2022,Japan,3.3,percent GDP,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
RD&I intensity,2022,South Korea,4.9,percent GDP,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Business share of RD&I,2022,EU,58,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Business share of RD&I,2022,USA,68,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Business share of RD&I,2022,China,77,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Business share of RD&I,2022,Japan,78,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
Business share of RD&I,2022,South Korea,76,percent,"Align Act Accelerate. Research, Technology and Innovation to boost European Competitiveness, Sept 2024. ",?
